# instrument: bench/measurements/02-176/hadamard.c
# tree: 72ce585
# date: 2026-09-04T15:10:43Z
# an exact verifier's a-priori budget, per gate instance
# capacity: JM_EXACT_LIMBS=128, 4096 bits
# bits: Hadamard bound on log2|det B|, one pass over the basis
# fits: whether that bound is inside the capacity

instance       status          rows    basic   slacks         bits   worstcol   fits
scsd1.mps      optimal           77       72        5         33.0       0.50    yes
scsd6.mps      optimal          147      140        7         66.6       0.50    yes
scsd8.mps      optimal          397      396        1        196.3       0.50    yes
sctap1.mps     optimal          300      194      106        456.0       6.85    yes
sctap2.mps     optimal         1090      616      474        901.4       6.14    yes
sctap3.mps     optimal         1480      848      632       1148.6       6.14    yes
seba.mps       optimal          515      438       77        196.5       8.06    yes
share1b.mps    optimal          117       94       23        600.4      10.40    yes
share2b.mps    optimal           96       53       43        336.3       7.71    yes
shell.mps      optimal          536      500       36        251.8       0.79    yes
ship04l.mps    optimal          402      304       98        219.9       0.79    yes
ship04s.mps    optimal          402      308       94        220.6       0.79    yes
ship08l.mps    optimal          778      485      293        349.9       0.79    yes
ship08s.mps    optimal          778      484      294        349.2       0.79    yes
ship12l.mps    optimal         1151      808      343        570.0       1.81    yes
ship12s.mps    optimal         1151      810      341        570.0       1.81    yes
sierra.mps     optimal         1227      521      706       1120.6      16.61    yes
stair.mps      optimal          356      350        6        379.0       3.58    yes
standata.mps   optimal          359       62      297         85.3       5.03    yes
standmps.mps   optimal          467      202      265        497.5       8.28    yes
stocfor1.mps   optimal          117       78       39        179.6       9.05    yes
stocfor2.mps   optimal         2157     1536      621       4504.9       9.42     NO
stocfor3.mps   optimal        16675    12169     4506      36846.7       9.85     NO
truss.mps      optimal         1000     1000        0        493.5       0.50    yes
tuff.mps       optimal          333      193      140        396.0      13.29    yes
vtp-base.mps   optimal          198       86      112        350.8      12.96    yes
wood1p.mps     optimal          244      196       48       1986.6      10.42    yes
woodw.mps      optimal         1098      863      235       8643.3      10.40     NO
bgdbg1.mps     infeasible  (no optimum, no basis to bound)
bgetam.mps     infeasible  (no optimum, no basis to bound)
bgindy.mps     infeasible  (no optimum, no basis to bound)
bgprtr.mps     infeasible  (no optimum, no basis to bound)
box1.mps       infeasible  (no optimum, no basis to bound)
ceria3d.mps    infeasible  (no optimum, no basis to bound)
chemcom.mps    infeasible  (no optimum, no basis to bound)
cplex1.mps     infeasible  (no optimum, no basis to bound)
cplex2.mps     infeasible  (no optimum, no basis to bound)
ex72a.mps      infeasible  (no optimum, no basis to bound)
ex73a.mps      infeasible  (no optimum, no basis to bound)
forest6.mps    infeasible  (no optimum, no basis to bound)
galenet.mps    infeasible  (no optimum, no basis to bound)
gosh.mps       infeasible  (no optimum, no basis to bound)
gran.mps       infeasible  (no optimum, no basis to bound)
greenbea.mps   infeasible  (no optimum, no basis to bound)
itest2.mps     infeasible  (no optimum, no basis to bound)
itest6.mps     infeasible  (no optimum, no basis to bound)
klein1.mps     infeasible  (no optimum, no basis to bound)
klein2.mps     infeasible  (no optimum, no basis to bound)
klein3.mps     infeasible  (no optimum, no basis to bound)
mondou2.mps    infeasible  (no optimum, no basis to bound)
pang.mps       infeasible  (no optimum, no basis to bound)
pilot4i.mps    infeasible  (no optimum, no basis to bound)
qual.mps       infeasible  (no optimum, no basis to bound)
reactor.mps    infeasible  (no optimum, no basis to bound)
refinery.mps   infeasible  (no optimum, no basis to bound)
vol1.mps       infeasible  (no optimum, no basis to bound)
woodinfe.mps   infeasible  (no optimum, no basis to bound)
cre-a.mps      optimal         3516     1813     1703       2617.4       7.46    yes
cre-b.mps      optimal         9648     4669     4979       5198.4       7.16     NO
cre-c.mps      optimal         3068     1600     1468       2444.8       7.32    yes
cre-d.mps      optimal         8926     3864     5062       4092.8       6.95    yes
ken-07.mps     optimal         2426     2354       72       1405.4       0.79    yes
ken-11.mps     optimal        14694    13459     1235       7855.2       0.79     NO
ken-13.mps     optimal        28632    25257     3375      14707.9       0.79     NO
ken-18.mps     optimal       105127    88775    16352      52522.7       0.79     NO
osa-07.mps     optimal         1118      355      763        816.8       3.73    yes
osa-14.mps     optimal         2337      781     1556       1730.0       3.73    yes
osa-30.mps     optimal         4350     1536     2814       3386.7       3.73    yes
osa-60.mps     optimal        10280     2913     7367       6395.8       4.09     NO
pds-02.mps     optimal         2953     1771     1182       1014.5       0.79    yes
pds-06.mps     optimal         9881     7517     2364       4186.7       0.79     NO
pds-10.mps     optimal        16558    13278     3280       7416.1       0.79     NO
pds-20.mps     optimal        33874    27909     5965      15681.6       0.79     NO

110 bases bounded, 29 skipped for having no optimum
97 of 110 fit in 4096 bits; 13 do not
largest bound: ken-18.mps at 52522.7 bits, 12.8x the capacity
