# jaos_write_mps round trip over every gate instance
# tree: 0ff6cdb WITH UNCOMMITTED CHANGES
# date: 2026-08-31T05:54:37Z
# read -> write MPS -> read back -> compare every field with ==

bench/instances/scfxm3.mps ok   rows=990    cols=1371   nz=7777
bench/instances/scorpion.mps ok   rows=388    cols=358    nz=1426
bench/instances/scrs8.mps ok   rows=490    cols=1169   nz=3182
bench/instances/scsd1.mps ok   rows=77     cols=760    nz=2388
bench/instances/scsd6.mps ok   rows=147    cols=1350   nz=4316
bench/instances/scsd8.mps ok   rows=397    cols=2750   nz=8584
bench/instances/sctap1.mps ok   rows=300    cols=480    nz=1692
bench/instances/sctap2.mps ok   rows=1090   cols=1880   nz=6714
bench/instances/sctap3.mps ok   rows=1480   cols=2480   nz=8874
bench/instances/seba.mps ok   rows=515    cols=1028   nz=4352
bench/instances/share1b.mps ok   rows=117    cols=225    nz=1151
bench/instances/share2b.mps ok   rows=96     cols=79     nz=694
bench/instances/shell.mps ok   rows=536    cols=1775   nz=3556
bench/instances/ship04l.mps ok   rows=402    cols=2118   nz=6332
bench/instances/ship04s.mps ok   rows=402    cols=1458   nz=4352
bench/instances/ship08l.mps ok   rows=778    cols=4283   nz=12802
bench/instances/ship08s.mps ok   rows=778    cols=2387   nz=7114
bench/instances/ship12l.mps ok   rows=1151   cols=5427   nz=16170
bench/instances/ship12s.mps ok   rows=1151   cols=2763   nz=8178
bench/instances/sierra.mps ok   rows=1227   cols=2036   nz=7302
bench/instances/stair.mps ok   rows=356    cols=467    nz=3856
bench/instances/standata.mps ok   rows=359    cols=1075   nz=3031
bench/instances/standmps.mps ok   rows=467    cols=1075   nz=3679
bench/instances/stocfor1.mps ok   rows=117    cols=111    nz=447
bench/instances/stocfor2.mps ok   rows=2157   cols=2031   nz=8343
bench/instances/stocfor3.mps ok   rows=16675  cols=15695  nz=64875
bench/instances/truss.mps ok   rows=1000   cols=8806   nz=27836
bench/instances/tuff.mps ok   rows=333    cols=587    nz=4520
bench/instances/vtp-base.mps ok   rows=198    cols=203    nz=908
bench/instances/wood1p.mps ok   rows=244    cols=2594   nz=70215
bench/instances/woodw.mps ok   rows=1098   cols=8405   nz=37474
bench/instances-infeas/bgdbg1.mps ok   rows=348    cols=407    nz=1440
bench/instances-infeas/bgetam.mps ok   rows=400    cols=688    nz=2409
bench/instances-infeas/bgindy.mps ok   rows=2671   cols=10116  nz=65502
bench/instances-infeas/bgprtr.mps ok   rows=20     cols=34     nz=64
bench/instances-infeas/box1.mps ok   rows=231    cols=261    nz=651
bench/instances-infeas/ceria3d.mps ok   rows=3576   cols=824    nz=17602
bench/instances-infeas/chemcom.mps ok   rows=288    cols=720    nz=1566
bench/instances-infeas/cplex1.mps ok   rows=3005   cols=3221   nz=8944
bench/instances-infeas/cplex2.mps ok   rows=224    cols=221    nz=1058
bench/instances-infeas/ex72a.mps ok   rows=197    cols=215    nz=467
bench/instances-infeas/ex73a.mps ok   rows=193    cols=211    nz=457
bench/instances-infeas/forest6.mps ok   rows=66     cols=95     nz=210
bench/instances-infeas/galenet.mps ok   rows=8      cols=8      nz=16
bench/instances-infeas/gosh.mps ok   rows=3792   cols=10733  nz=97231
bench/instances-infeas/gran.mps ok   rows=2658   cols=2520   nz=20106
bench/instances-infeas/greenbea.mps ok   rows=2504   cols=5405   nz=34937
bench/instances-infeas/itest2.mps ok   rows=9      cols=4      nz=17
bench/instances-infeas/itest6.mps ok   rows=11     cols=8      nz=20
bench/instances-infeas/klein1.mps ok   rows=54     cols=54     nz=696
bench/instances-infeas/klein2.mps ok   rows=477    cols=54     nz=4585
bench/instances-infeas/klein3.mps ok   rows=994    cols=88     nz=12107
bench/instances-infeas/mondou2.mps ok   rows=312    cols=604    nz=1208
bench/instances-infeas/pang.mps ok   rows=361    cols=460    nz=2652
bench/instances-infeas/pilot4i.mps ok   rows=410    cols=1000   nz=5141
bench/instances-infeas/qual.mps ok   rows=323    cols=464    nz=1646
bench/instances-infeas/reactor.mps ok   rows=318    cols=637    nz=2420
bench/instances-infeas/refinery.mps ok   rows=323    cols=464    nz=1626
bench/instances-infeas/vol1.mps ok   rows=323    cols=464    nz=1646
bench/instances-infeas/woodinfe.mps ok   rows=35     cols=89     nz=140
bench/instances-kennington/cre-a.mps ok   rows=3516   cols=4067   nz=14987
bench/instances-kennington/cre-b.mps ok   rows=9648   cols=72447  nz=256095
bench/instances-kennington/cre-c.mps ok   rows=3068   cols=3678   nz=13244
bench/instances-kennington/cre-d.mps ok   rows=8926   cols=69980  nz=242646
bench/instances-kennington/ken-07.mps ok   rows=2426   cols=3602   nz=8404
bench/instances-kennington/ken-11.mps ok   rows=14694  cols=21349  nz=49058
bench/instances-kennington/ken-13.mps ok   rows=28632  cols=42659  nz=97246
bench/instances-kennington/ken-18.mps ok   rows=105127 cols=154699 nz=358171
bench/instances-kennington/osa-07.mps ok   rows=1118   cols=23949  nz=143694
bench/instances-kennington/osa-14.mps ok   rows=2337   cols=52460  nz=314760
bench/instances-kennington/osa-30.mps ok   rows=4350   cols=100024 nz=600138
bench/instances-kennington/osa-60.mps ok   rows=10280  cols=232966 nz=1397793
bench/instances-kennington/pds-02.mps ok   rows=2953   cols=7535   nz=16390
bench/instances-kennington/pds-06.mps ok   rows=9881   cols=28655  nz=62524
bench/instances-kennington/pds-10.mps ok   rows=16558  cols=48763  nz=106436
bench/instances-kennington/pds-20.mps ok   rows=33874  cols=105728 nz=230200

139 round-tripped exactly, 0 did not
