# tree: cee723a plus a JAOS_DIAG patch, outside the repo
# phase-1 infeasibility is a SUM OF BOUND VIOLATIONS: it must not rise.
# instances: dfl001 -- all three overrun inside phase 1 at both settings.

## PIVOT_MARGIN=0
DIV dfl001 | phase 1, iter 0: infeasibility 8209, work 124982
DIV dfl001 | phase 1, iter 81000: infeasibility 6887.34, work 15451276383
DIV dfl001 | phase 1, iter 82000: infeasibility 6876.9, work 15708572858
DIV dfl001 | phase 1, iter 83000: infeasibility 6871.67, work 15966043494
DIV dfl001 | phase 1, iter 84000: infeasibility 6865.44, work 16222877956
DIV dfl001 | phase 1, iter 85000: infeasibility 6859.97, work 16483092449
DIV dfl001 | phase 1, iter 86000: infeasibility 6851.93, work 16741556473
DIV dfl001 | phase 1, iter 87000: infeasibility 6843.61, work 17005715913
DIV dfl001 | phase 1, iter 88000: infeasibility 6834.11, work 17269077168
DIV dfl001 | phase 1, iter 89000: infeasibility 6828.25, work 17531062832
DIV dfl001 | phase 1, iter 90000: infeasibility 6820.66, work 17793219650
DIV dfl001 | phase 1, iter 91000: infeasibility 6813.29, work 18047895779
DIV dfl001 | phase 1, iter 92000: infeasibility 6806.89, work 18305557672
DIV dfl001 | phase 1, iter 93000: infeasibility 6800.74, work 18570353529
DIV dfl001 | phase 1, iter 94000: infeasibility 6793.96, work 18829111773
DIV dfl001 | phase 1, iter 95000: infeasibility 6788.49, work 19082162122
DIV dfl001 | phase 1, iter 96000: infeasibility 6782.16, work 19326624115
DIV dfl001 | phase 1, iter 97000: infeasibility 6777.79, work 19567755310
DIV dfl001 | phase 1, iter 98000: infeasibility 6771.64, work 19813028596
DIV dfl001 | phase 1, iter 99000: infeasibility 6763.86, work 20065860309
DIV dfl001 | phase 1, iter 100000: infeasibility 6755.22, work 20319837026
DIV dfl001 | phase 1, iter 101000: infeasibility 6746.64, work 20579457299
DIV dfl001 | phase 1, iter 102000: infeasibility 6740.84, work 20838080615
DIV dfl001 | phase 1, iter 103000: infeasibility 6734.16, work 21093105407
DIV dfl001 | phase 1, iter 104000: infeasibility 6728.57, work 21341793409
DIV dfl001 | phase 1, iter 105000: infeasibility 6723.22, work 21590596933
DIV dfl001 | phase 1, iter 106000: infeasibility 6718.9, work 21847716773
DIV dfl001 | phase 1, iter 107000: infeasibility 6711.49, work 22110653344
DIV dfl001 | phase 1, iter 108000: infeasibility 6702.77, work 22374568572
DIV dfl001 | phase 1, iter 109000: infeasibility 6698.81, work 22638439266
DIV dfl001 | phase 1, iter 110000: infeasibility 6693.93, work 22895240162
DIV dfl001 | phase 1, iter 111000: infeasibility 6688.11, work 23156038622
DIV dfl001 | phase 1, iter 112000: infeasibility 6683.19, work 23410413888
DIV dfl001 | phase 1, iter 113000: infeasibility 6677.24, work 23664599893
DIV dfl001 | phase 1, iter 114000: infeasibility 6673.13, work 23922241704
DIV dfl001 | phase 1, iter 115000: infeasibility 6667.67, work 24181646491
DIV dfl001 | phase 1, iter 116000: infeasibility 6663.51, work 24431828453
DIV dfl001 | phase 1, iter 117000: infeasibility 6658.37, work 24685405675
DIV dfl001 | phase 1, iter 118000: infeasibility 6653.73, work 24935267322
DIV dfl001 | phase 1, iter 119000: infeasibility 6649.62, work 25183132270
DIV dfl001 | phase 1, iter 120000: infeasibility 6645.57, work 25433768811
DIV dfl001 | phase 1, iter 121000: infeasibility 6641.4, work 25684715419
DIV dfl001 | phase 1, iter 122000: infeasibility 6638.26, work 25928839914
DIV dfl001 | phase 1, iter 123000: infeasibility 6635.22, work 26170329199
DIV dfl001 | phase 1, iter 124000: infeasibility 6632.17, work 26416294762
DIV dfl001 | phase 1, iter 125000: infeasibility 6627.57, work 26663304494
DIV dfl001 | phase 1, iter 126000: infeasibility 6624.06, work 26905389325
DIV dfl001 | phase 1, iter 127000: infeasibility 6621.43, work 27141178515
DIV dfl001 | phase 1, iter 128000: infeasibility 6601.16, work 27383015263
DIV dfl001 | phase 1, iter 129000: infeasibility 6586.63, work 27624345241
DIV dfl001 | phase 1, iter 130000: infeasibility 6579.88, work 27869704019
DIV dfl001 | phase 1, iter 131000: infeasibility 6576.69, work 28113537957
DIV dfl001 | phase 1, iter 132000: infeasibility 6574.33, work 28358718491
DIV dfl001 | phase 1, iter 133000: infeasibility 6571.04, work 28604144425
DIV dfl001 | phase 1, iter 134000: infeasibility 6567.76, work 28858747250
DIV dfl001 | phase 1, iter 135000: infeasibility 6565.03, work 29105547939
DIV dfl001 | work limit reached after 135068 iterations, 29121948379 work units; 2089 refactorizations, 57181 weight restarts, 0 stalls, 52 stability rebuilds, 135068 primal iterations, 135068 of them phase 1
# control: 7 record lines written

## PIVOT_MARGIN=1
DIV dfl001 | phase 1, iter 0: infeasibility 8209, work 124982
DIV dfl001 | phase 1, iter 1000: infeasibility 8191, work 92051759
DIV dfl001 | phase 1, iter 2000: infeasibility 8191, work 195695148
DIV dfl001 | phase 1, iter 3000: infeasibility 8191, work 306538181
DIV dfl001 | phase 1, iter 4000: infeasibility 8191, work 423977414
DIV dfl001 | phase 1, iter 5000: infeasibility 8191, work 544350268
DIV dfl001 | phase 1, iter 6000: infeasibility 8191, work 666352919
DIV dfl001 | phase 1, iter 7000: infeasibility 8191, work 787088808
DIV dfl001 | phase 1, iter 8000: infeasibility 8191, work 909465517
DIV dfl001 | phase 1, iter 9000: infeasibility 8191, work 1032384865
DIV dfl001 | phase 1, iter 10000: infeasibility 8191, work 1152784479
DIV dfl001 | phase 1, iter 11000: infeasibility 8191, work 1275403324
DIV dfl001 | phase 1, iter 12000: infeasibility 8191, work 1397005365
DIV dfl001 | phase 1, iter 13000: infeasibility 8191, work 1522109849
DIV dfl001 | phase 1, iter 14000: infeasibility 8191, work 1649000026
DIV dfl001 | phase 1, iter 15000: infeasibility 8191, work 1777073893
DIV dfl001 | phase 1, iter 16000: infeasibility 8191, work 1903445243
DIV dfl001 | phase 1, iter 17000: infeasibility 8191, work 2030513647
DIV dfl001 | phase 1, iter 18000: infeasibility 8191, work 2156024545
DIV dfl001 | phase 1, iter 19000: infeasibility 8191, work 2281774225
DIV dfl001 | phase 1, iter 20000: infeasibility 8053.56, work 2404393878
DIV dfl001 | phase 1, iter 21000: infeasibility 7939.27, work 2531640341
DIV dfl001 | phase 1, iter 22000: infeasibility 7861.5, work 2663410616
DIV dfl001 | phase 1, iter 23000: infeasibility 7793.63, work 2806805869
DIV dfl001 | phase 1, iter 24000: infeasibility 7743.45, work 2956415296
DIV dfl001 | phase 1, iter 25000: infeasibility 7698.05, work 3111716945
DIV dfl001 | phase 1, iter 26000: infeasibility 7661.02, work 3268674007
DIV dfl001 | phase 1, iter 27000: infeasibility 7625.8, work 3433053824
DIV dfl001 | phase 1, iter 28000: infeasibility 7583.94, work 3607382297
DIV dfl001 | phase 1, iter 29000: infeasibility 7549.7, work 3788203854
DIV dfl001 | phase 1, iter 30000: infeasibility 7515.94, work 3974812201
DIV dfl001 | phase 1, iter 31000: infeasibility 7489.81, work 4161117021
DIV dfl001 | phase 1, iter 32000: infeasibility 7462.51, work 4345121701
DIV dfl001 | phase 1, iter 33000: infeasibility 7444.46, work 4533134173
DIV dfl001 | phase 1, iter 34000: infeasibility 7428.12, work 4720088401
DIV dfl001 | phase 1, iter 35000: infeasibility 7409.02, work 4909629864
DIV dfl001 | phase 1, iter 36000: infeasibility 7390.32, work 5107817146
DIV dfl001 | phase 1, iter 37000: infeasibility 7371.37, work 5311538083
DIV dfl001 | phase 1, iter 38000: infeasibility 7353.74, work 5521389356
DIV dfl001 | phase 1, iter 39000: infeasibility 7331.86, work 5730610310
DIV dfl001 | phase 1, iter 40000: infeasibility 7309.91, work 5943812827
DIV dfl001 | phase 1, iter 41000: infeasibility 7292.78, work 6164424200
DIV dfl001 | phase 1, iter 42000: infeasibility 7275.46, work 6387586905
DIV dfl001 | phase 1, iter 43000: infeasibility 7250.93, work 6612757284
DIV dfl001 | phase 1, iter 44000: infeasibility 7232.36, work 6840568646
DIV dfl001 | phase 1, iter 45000: infeasibility 7211.82, work 7074264719
DIV dfl001 | phase 1, iter 46000: infeasibility 7194.66, work 7300875436
DIV dfl001 | phase 1, iter 47000: infeasibility 7172.97, work 7540434840
DIV dfl001 | phase 1, iter 48000: infeasibility 7156.65, work 7781035211
DIV dfl001 | phase 1, iter 49000: infeasibility 7139.72, work 8023207686
DIV dfl001 | phase 1, iter 50000: infeasibility 7125, work 8264568643
DIV dfl001 | phase 1, iter 51000: infeasibility 7112.32, work 8503684960
DIV dfl001 | phase 1, iter 52000: infeasibility 7099.91, work 8745650268
DIV dfl001 | phase 1, iter 53000: infeasibility 7083.54, work 8990607924
DIV dfl001 | phase 1, iter 54000: infeasibility 7068.55, work 9230334967
DIV dfl001 | phase 1, iter 55000: infeasibility 7058.3, work 9470588362
DIV dfl001 | phase 1, iter 56000: infeasibility 7041.72, work 9711051331
DIV dfl001 | phase 1, iter 57000: infeasibility 7026.1, work 9964360868
DIV dfl001 | phase 1, iter 58000: infeasibility 7009.55, work 10213599051
DIV dfl001 | phase 1, iter 59000: infeasibility 6996.69, work 10462441596
DIV dfl001 | phase 1, iter 60000: infeasibility 6982.11, work 10706142762
DIV dfl001 | phase 1, iter 61000: infeasibility 6969.73, work 10956946883
DIV dfl001 | phase 1, iter 62000: infeasibility 6956.55, work 11220242603
DIV dfl001 | phase 1, iter 63000: infeasibility 6945.64, work 11478116902
DIV dfl001 | phase 1, iter 64000: infeasibility 6936.15, work 11728868957
DIV dfl001 | phase 1, iter 65000: infeasibility 6927.27, work 11978688585
DIV dfl001 | phase 1, iter 66000: infeasibility 6919.65, work 12222752805
DIV dfl001 | phase 1, iter 67000: infeasibility 6910.2, work 12468942197
DIV dfl001 | phase 1, iter 68000: infeasibility 6901.96, work 12716244233
DIV dfl001 | phase 1, iter 69000: infeasibility 6894.91, work 12957951745
DIV dfl001 | phase 1, iter 70000: infeasibility 6888.85, work 13202770287
DIV dfl001 | phase 1, iter 71000: infeasibility 6880.84, work 13449302022
DIV dfl001 | phase 1, iter 72000: infeasibility 6871.13, work 13701415309
DIV dfl001 | phase 1, iter 73000: infeasibility 6861.91, work 13953946926
DIV dfl001 | phase 1, iter 74000: infeasibility 6853.8, work 14196853241
DIV dfl001 | phase 1, iter 75000: infeasibility 6845.99, work 14436080533
DIV dfl001 | phase 1, iter 76000: infeasibility 6836.7, work 14684500049
DIV dfl001 | phase 1, iter 77000: infeasibility 6828.44, work 14930019248
DIV dfl001 | phase 1, iter 78000: infeasibility 6819.72, work 15167045128
DIV dfl001 | phase 1, iter 79000: infeasibility 6808.18, work 15403099834
DIV dfl001 | phase 1, iter 80000: infeasibility 6800.17, work 15644495534
DIV dfl001 | phase 1, iter 81000: infeasibility 6792.84, work 15883289107
DIV dfl001 | phase 1, iter 82000: infeasibility 6786.25, work 16121493568
DIV dfl001 | phase 1, iter 83000: infeasibility 6779.4, work 16361656447
DIV dfl001 | phase 1, iter 84000: infeasibility 6773.46, work 16600942224
DIV dfl001 | phase 1, iter 85000: infeasibility 6768.25, work 16843264302
DIV dfl001 | phase 1, iter 86000: infeasibility 6763.56, work 17081454644
DIV dfl001 | phase 1, iter 87000: infeasibility 6757.71, work 17312133152
DIV dfl001 | phase 1, iter 88000: infeasibility 6751.47, work 17549349263
DIV dfl001 | phase 1, iter 89000: infeasibility 6725.43, work 17788229148
DIV dfl001 | phase 1, iter 90000: infeasibility 6718.39, work 18034910091
DIV dfl001 | phase 1, iter 91000: infeasibility 6712.79, work 18282229928
DIV dfl001 | phase 1, iter 92000: infeasibility 6708.32, work 18521598784
DIV dfl001 | phase 1, iter 93000: infeasibility 6702.35, work 18757947856
DIV dfl001 | phase 1, iter 94000: infeasibility 6696.07, work 19001300173
DIV dfl001 | phase 1, iter 95000: infeasibility 6690.13, work 19238085190
DIV dfl001 | phase 1, iter 96000: infeasibility 6684.24, work 19475862945
DIV dfl001 | phase 1, iter 97000: infeasibility 6678.67, work 19710531961
DIV dfl001 | phase 1, iter 98000: infeasibility 6671.89, work 19947263317
DIV dfl001 | phase 1, iter 99000: infeasibility 6666.33, work 20188198677
DIV dfl001 | phase 1, iter 100000: infeasibility 6660.21, work 20426750867
DIV dfl001 | phase 1, iter 101000: infeasibility 6654.3, work 20664547918
DIV dfl001 | phase 1, iter 102000: infeasibility 6648.02, work 20912003870
DIV dfl001 | phase 1, iter 103000: infeasibility 6642.62, work 21153414632
DIV dfl001 | phase 1, iter 104000: infeasibility 6638.19, work 21399839807
DIV dfl001 | phase 1, iter 105000: infeasibility 6633.78, work 21644683071
DIV dfl001 | phase 1, iter 106000: infeasibility 6628.98, work 21887046135
DIV dfl001 | phase 1, iter 107000: infeasibility 6607.09, work 22128493868
DIV dfl001 | phase 1, iter 108000: infeasibility 6602.38, work 22359856099
DIV dfl001 | phase 1, iter 109000: infeasibility 6598.56, work 22602977032
DIV dfl001 | phase 1, iter 110000: infeasibility 6595.61, work 22836386635
DIV dfl001 | phase 1, iter 111000: infeasibility 6591.3, work 23075029064
DIV dfl001 | phase 1, iter 112000: infeasibility 6587.34, work 23312231950
DIV dfl001 | phase 1, iter 113000: infeasibility 6584.5, work 23550638304
DIV dfl001 | phase 1, iter 114000: infeasibility 6581.8, work 23785719443
DIV dfl001 | phase 1, iter 115000: infeasibility 6578.17, work 24023875202
DIV dfl001 | phase 1, iter 116000: infeasibility 6574.85, work 24257925073
DIV dfl001 | phase 1, iter 117000: infeasibility 6571.54, work 24490728926
DIV dfl001 | phase 1, iter 118000: infeasibility 6567.11, work 24727094183
DIV dfl001 | phase 1, iter 119000: infeasibility 6563.2, work 24966460043
DIV dfl001 | phase 1, iter 120000: infeasibility 6559.98, work 25196563705
DIV dfl001 | phase 1, iter 121000: infeasibility 6555.86, work 25431842050
DIV dfl001 | phase 1, iter 122000: infeasibility 6552.22, work 25672282031
DIV dfl001 | phase 1, iter 123000: infeasibility 6547.86, work 25910512589
DIV dfl001 | phase 1, iter 124000: infeasibility 6543.03, work 26146198015
DIV dfl001 | phase 1, iter 125000: infeasibility 6539.48, work 26379649400
DIV dfl001 | phase 1, iter 126000: infeasibility 6533.77, work 26616222156
DIV dfl001 | phase 1, iter 127000: infeasibility 6529.29, work 26849662496
DIV dfl001 | phase 1, iter 128000: infeasibility 6524.74, work 27087252870
DIV dfl001 | phase 1, iter 129000: infeasibility 6520.68, work 27320005263
DIV dfl001 | phase 1, iter 130000: infeasibility 6516.28, work 27553317176
DIV dfl001 | phase 1, iter 131000: infeasibility 6511.35, work 27778804538
DIV dfl001 | phase 1, iter 132000: infeasibility 6507.45, work 28011403543
DIV dfl001 | phase 1, iter 133000: infeasibility 6502.73, work 28250118477
DIV dfl001 | phase 1, iter 134000: infeasibility 6499.16, work 28489391494
DIV dfl001 | phase 1, iter 135000: infeasibility 6495.26, work 28726345633
DIV dfl001 | phase 1, iter 136000: infeasibility 6488.85, work 28958697087
DIV dfl001 | work limit reached after 136695 iterations, 29121840732 work units; 2112 refactorizations, 57227 weight restarts, 0 stalls, 41 stability rebuilds, 136695 primal iterations, 136695 of them phase 1
# control: 7 record lines written
