# tree: cee723a, PIVOT_MARGIN = 1.0 as it ships
# pilot87 only, -j 1, JAOS_LOG_DETAIL on the forced-primal solve

P87 phase 1, iter 127000: infeasibility 2.06076e+12, work 38338567496
P87 phase 1, iter 128000: infeasibility 2.05155e+12, work 38678130946
P87 phase 1, iter 129000: infeasibility 2.04833e+12, work 39043930848
P87 phase 1, iter 130000: infeasibility 2.04684e+12, work 39403769176
P87 phase 1, iter 131000: infeasibility 1.9972e+13, work 39750434739
P87 phase 1, iter 132000: infeasibility 8.55204e+12, work 40128870095
P87 phase 1, iter 133000: infeasibility 5.6356e+12, work 40511236411
P87 phase 1, iter 134000: infeasibility 4.77488e+12, work 40873317882
P87 phase 1, iter 135000: infeasibility 4.62716e+12, work 41237965780
P87 phase 1, iter 136000: infeasibility 4.48472e+12, work 41565052842
P87 phase 1, iter 137000: infeasibility 4.07108e+12, work 41957752305
P87 phase 1, iter 138000: infeasibility 3.45654e+12, work 42299713608
P87 phase 1, iter 139000: infeasibility 3.19647e+12, work 42640070878
P87 phase 1, iter 140000: infeasibility 3.05402e+12, work 43056152326
P87 phase 1, iter 141000: infeasibility 3.0053e+12, work 43377013803
P87 phase 1, iter 142000: infeasibility 2.91744e+12, work 43702739003
P87 phase 1, iter 143000: infeasibility 2.71634e+12, work 44109738277
P87 phase 1, iter 144000: infeasibility 2.63079e+12, work 44458662721
P87 phase 1, iter 145000: infeasibility 5.44869e+12, work 44826413822
P87 phase 1, iter 146000: infeasibility 5.27188e+12, work 45223231602
P87 phase 1, iter 147000: infeasibility 4.94325e+12, work 45695787800
P87 phase 1, iter 148000: infeasibility 4.78482e+12, work 46104321378
P87 phase 1, iter 149000: infeasibility 4.85953e+12, work 46482704329
P87 phase 1, iter 150000: infeasibility 4.6492e+12, work 46806745315
P87 phase 1, iter 151000: infeasibility 4.55808e+12, work 47125953665
P87 phase 1, iter 152000: infeasibility 4.37901e+12, work 47451907594
P87 phase 1, iter 153000: infeasibility 4.24656e+12, work 47767144856
P87 phase 1, iter 154000: infeasibility 4.08648e+12, work 48079132384
P87 phase 1, iter 155000: infeasibility 3.90144e+12, work 48432075332
P87 phase 1, iter 156000: infeasibility 4.0254e+12, work 48790487096
P87 phase 1, iter 157000: infeasibility 3.8602e+12, work 49222114397
P87 phase 1, iter 158000: infeasibility 3.65204e+12, work 49647174091
P87 phase 1, iter 159000: infeasibility 3.42824e+12, work 50081120255
P87 phase 1, iter 160000: infeasibility 2.71075e+12, work 50522014928
P87 phase 1, iter 161000: infeasibility 3.30525e+12, work 50948749886
P87 phase 1, iter 162000: infeasibility 3.0613e+12, work 51368625226
P87 phase 1, iter 163000: infeasibility 2.89478e+12, work 51735337137
P87 phase 1, iter 164000: infeasibility 2.65182e+12, work 52102275697
P87 phase 1, iter 165000: infeasibility 2.54412e+12, work 52505331443
P87 phase 1, iter 166000: infeasibility 2.49426e+12, work 52880206053
P87 phase 1, iter 167000: infeasibility 2.37491e+12, work 53277773965
P87 phase 1, iter 168000: infeasibility 2.29949e+12, work 53692682489
P87 phase 1, iter 169000: infeasibility 2.20103e+12, work 54070261676
P87 phase 1, iter 170000: infeasibility 2.10712e+12, work 54453139734
P87 phase 1, iter 171000: infeasibility 2.06101e+12, work 54845981537
P87 phase 1, iter 172000: infeasibility 2.03585e+12, work 55284270879
P87 phase 1, iter 173000: infeasibility 1.98463e+12, work 55709381029
P87 phase 1, iter 174000: infeasibility 1.91287e+12, work 56054093390
P87 phase 1, iter 175000: infeasibility 1.80187e+12, work 56403162658
P87 phase 1, iter 176000: infeasibility 2.11076e+12, work 56804998491
P87 phase 1, iter 177000: infeasibility 1.99532e+12, work 57174245097
P87 phase 1, iter 178000: infeasibility 1.89324e+12, work 57587774421
P87 phase 1, iter 179000: infeasibility 1.81475e+12, work 58044093002
P87 phase 1, iter 180000: infeasibility 1.77736e+12, work 58453734196
P87 phase 1, iter 181000: infeasibility 1.71324e+12, work 58835078634
P87 phase 1, iter 182000: infeasibility 1.6661e+12, work 59278506100
P87 phase 1, iter 183000: infeasibility 1.59223e+12, work 59708513770
P87 phase 1, iter 184000: infeasibility 1.58323e+12, work 60118299910
P87 phase 1, iter 185000: infeasibility 1.52592e+12, work 60548752168
P87 phase 1, iter 186000: infeasibility 1.50736e+12, work 61012531999
P87 phase 1, iter 187000: infeasibility 1.49435e+12, work 61409603933
P87 phase 1, iter 188000: infeasibility 1.40462e+12, work 61790819829
P87 phase 1, iter 189000: infeasibility 1.38765e+12, work 62258233445
P87 phase 1, iter 190000: infeasibility 1.45191e+12, work 62712079474
P87 phase 1, iter 191000: infeasibility 1.41111e+12, work 63163769645
P87 phase 1, iter 192000: infeasibility 1.39711e+12, work 63639159614
P87 phase 1, iter 193000: infeasibility 1.37985e+12, work 64052225169
P87 phase 1, iter 194000: infeasibility 1.37285e+12, work 64481131146
P87 phase 1, iter 195000: infeasibility 1.33706e+12, work 64892782005
P87 phase 1, iter 196000: infeasibility 1.32243e+12, work 65308368656
P87 phase 1, iter 197000: infeasibility 1.48089e+12, work 65760807151
P87 phase 1, iter 198000: infeasibility 1.4261e+12, work 66223838156
P87 phase 1, iter 199000: infeasibility 1.34605e+12, work 66674330184
P87 phase 1, iter 200000: infeasibility 1.30363e+12, work 67084426594
P87 phase 1, iter 201000: infeasibility 1.24417e+12, work 67501914437
P87 phase 1, iter 202000: infeasibility 1.20104e+12, work 67957268809
P87 phase 1, iter 203000: infeasibility 2.42873e+12, work 68444293150
P87 phase 1, iter 204000: infeasibility 1.43708e+12, work 68888985040
P87 phase 1, iter 205000: infeasibility 1.26525e+12, work 69307395602
P87 phase 1, iter 206000: infeasibility 1.23279e+12, work 69726230768
P87 phase 1, iter 207000: infeasibility 1.20594e+12, work 70127862980
P87 phase 1, iter 208000: infeasibility 1.18985e+12, work 70493738845
P87 phase 1, iter 209000: infeasibility 1.16445e+12, work 70908247104
P87 phase 1, iter 210000: infeasibility 1.15614e+12, work 71293645927
P87 phase 1, iter 211000: infeasibility 3.16823e+12, work 71721543490
P87 phase 1, iter 212000: infeasibility 7.50969e+12, work 72187385557
P87 phase 1, iter 213000: infeasibility 4.20051e+12, work 72669406732
P87 phase 1, iter 214000: infeasibility 3.14263e+12, work 73151302228
P87 phase 1, iter 215000: infeasibility 2.71845e+12, work 73633623028
P87 phase 1, iter 216000: infeasibility 1.96733e+12, work 74091302462
P87 phase 1, iter 217000: infeasibility 1.82363e+12, work 74536146427
P87 phase 1, iter 218000: infeasibility 1.72477e+12, work 74991709043
P87 phase 1, iter 219000: infeasibility 1.62244e+12, work 75443867397
P87 phase 1, iter 220000: infeasibility 1.551e+12, work 75883312130
P87 phase 1, iter 221000: infeasibility 1.49071e+12, work 76277873468
P87 phase 1, iter 222000: infeasibility 1.4568e+12, work 76628102319
P87 phase 1, iter 223000: infeasibility 1.41606e+12, work 76995365547
P87 phase 1, iter 224000: infeasibility 1.36759e+12, work 77415544403
P87 phase 1, iter 225000: infeasibility 1.30293e+12, work 77879580029
P87 phase 1, iter 226000: infeasibility 1.29376e+12, work 78266958545
P87 phase 1, iter 227000: infeasibility 1.2867e+12, work 78595064255
P87 phase 1, iter 228000: infeasibility 1.27557e+12, work 79038937746
P87 phase 1, iter 229000: infeasibility 1.23893e+12, work 79451097161
P87 phase 1, iter 230000: infeasibility 1.21239e+12, work 79847468300
P87 phase 1, iter 231000: infeasibility 1.19365e+12, work 80264120478
P87 phase 1, iter 232000: infeasibility 1.184e+12, work 80635289613
P87 phase 1, iter 233000: infeasibility 1.13992e+12, work 80997514839
P87 phase 1, iter 234000: infeasibility 1.13347e+12, work 81431454417
P87 phase 1, iter 235000: infeasibility 1.10948e+12, work 81764269365
P87 phase 1, iter 236000: infeasibility 1.14678e+12, work 82105639670
P87 phase 1, iter 237000: infeasibility 7.39066e+12, work 82384010734
P87 phase 1, iter 238000: infeasibility 6.6332e+12, work 82721385843
P87 phase 1, iter 239000: infeasibility 5.2378e+12, work 83032443078
P87 phase 1, iter 240000: infeasibility 4.07929e+12, work 83382509742
P87 phase 1, iter 241000: infeasibility 2.37012e+12, work 83809265583
P87 phase 1, iter 242000: infeasibility 2.05152e+12, work 84231718105
P87 phase 1, iter 243000: infeasibility 1.94306e+12, work 84676168426
P87 phase 1, iter 244000: infeasibility 1.84077e+12, work 85173205372
P87 phase 1, iter 245000: infeasibility 1.69924e+12, work 85729471858
P87 phase 1, iter 246000: infeasibility 1.65985e+12, work 86257795937
P87 phase 1, iter 247000: infeasibility 1.48157e+12, work 86774247933
P87 phase 1, iter 248000: infeasibility 1.45502e+12, work 87254063267
P87 phase 1, iter 249000: infeasibility 1.79954e+12, work 87756937435
P87 phase 1, iter 250000: infeasibility 1.65817e+12, work 88295809286
P87 phase 1, iter 251000: infeasibility 1.55574e+12, work 88832244192
P87 phase 1, iter 252000: infeasibility 1.54534e+12, work 89353311090
P87 phase 1, iter 253000: infeasibility 1.46538e+12, work 89851705763
P87 phase 1, iter 254000: infeasibility 1.42625e+12, work 90294814788
P87 phase 1, iter 255000: infeasibility 1.4109e+12, work 90668286743
P87 phase 1, iter 256000: infeasibility 1.3949e+12, work 91008693071
P87 phase 1, iter 257000: infeasibility 1.36932e+12, work 91393947250
P87 phase 1, iter 258000: infeasibility 1.34348e+12, work 91789060122
P87 phase 1, iter 259000: infeasibility 1.32814e+12, work 92118782092
P87 phase 1, iter 260000: infeasibility 1.32147e+12, work 92416377610
P87 phase 1, iter 261000: infeasibility 1.2896e+12, work 92738140049
P87 phase 1, iter 262000: infeasibility 1.27166e+12, work 93128242124
P87 phase 1, iter 263000: infeasibility 1.21055e+12, work 93527740251
P87 phase 1, iter 264000: infeasibility 1.19175e+12, work 93820305809
P87 phase 1, iter 265000: infeasibility 1.14472e+12, work 94154871237
P87 phase 1, iter 266000: infeasibility 1.12823e+12, work 94461957136
P87 phase 1, iter 267000: infeasibility 1.11496e+12, work 94765460686
P87 phase 1, iter 268000: infeasibility 1.07719e+12, work 95151868379
P87 phase 1, iter 269000: infeasibility 1.06831e+12, work 95463882541
P87 phase 1, iter 270000: infeasibility 1.05431e+12, work 95774284939
P87 phase 1, iter 271000: infeasibility 1.0319e+12, work 96103932978
P87 phase 1, iter 272000: infeasibility 1.02621e+12, work 96471301152
P87 phase 1, iter 273000: infeasibility 1.00107e+12, work 96829479975
P87 phase 1, iter 274000: infeasibility 9.70382e+11, work 97183562759
P87 phase 1, iter 275000: infeasibility 9.64284e+11, work 97522722225
P87 phase 1, iter 276000: infeasibility 9.53462e+11, work 97875939317
P87 phase 1, iter 277000: infeasibility 9.47104e+11, work 98220314164
P87 phase 1, iter 278000: infeasibility 1.6222e+12, work 98622210586
P87 phase 1, iter 279000: infeasibility 1.51542e+12, work 98962870006
P87 phase 1, iter 280000: infeasibility 1.44283e+12, work 99332002056
P87 phase 1, iter 281000: infeasibility 1.98842e+12, work 99685507331
P87 phase 1, iter 282000: infeasibility 1.6952e+12, work 100106850955
P87 phase 1, iter 283000: infeasibility 1.61748e+12, work 100519158560
P87 phase 1, iter 284000: infeasibility 1.53441e+12, work 100905511489
P87 phase 1, iter 285000: infeasibility 1.46409e+12, work 101274360256
P87 phase 1, iter 286000: infeasibility 1.42341e+12, work 101624679646
P87 phase 1, iter 287000: infeasibility 1.35642e+12, work 102000509572
P87 phase 1, iter 288000: infeasibility 1.33719e+12, work 102419299856
P87 phase 1, iter 289000: infeasibility 1.27832e+12, work 102803675536
P87 phase 1, iter 290000: infeasibility 1.25172e+12, work 103173717145
P87 phase 1, iter 291000: infeasibility 1.19643e+12, work 103657047370
P87 phase 1, iter 292000: infeasibility 1.17052e+12, work 104113787320
P87 phase 1, iter 293000: infeasibility 1.17709e+12, work 104619184826
P87 phase 1, iter 294000: infeasibility 1.16375e+12, work 105095127955
P87 phase 1, iter 295000: infeasibility 1.13762e+12, work 105569601175
P87 phase 1, iter 296000: infeasibility 1.12595e+12, work 106022983877
P87 phase 1, iter 297000: infeasibility 1.10286e+12, work 106514732521
P87 phase 1, iter 298000: infeasibility 1.63536e+12, work 106924342637
P87 phase 1, iter 299000: infeasibility 1.55944e+12, work 107305508074
P87 phase 1, iter 300000: infeasibility 1.39927e+12, work 107770645497
P87 phase 1, iter 301000: infeasibility 1.30949e+12, work 108142960094
P87 phase 1, iter 302000: infeasibility 1.22639e+12, work 108517524510
P87 phase 1, iter 303000: infeasibility 1.20897e+12, work 108806466873
P87 phase 1, iter 304000: infeasibility 1.19579e+12, work 109101989753
P87 phase 1, iter 305000: infeasibility 1.17058e+12, work 109481891717
P87 phase 1, iter 306000: infeasibility 1.15077e+12, work 109787154104
P87 phase 1, iter 307000: infeasibility 1.22157e+12, work 110149115506
P87 phase 1, iter 308000: infeasibility 1.14362e+12, work 110544957502
P87 phase 1, iter 309000: infeasibility 1.12917e+12, work 110973268594
P87 phase 1, iter 310000: infeasibility 3.74835e+12, work 111438750781
P87 phase 1, iter 311000: infeasibility 3.06221e+12, work 111928480986
P87 phase 1, iter 312000: infeasibility 2.08018e+12, work 112489539649
P87 phase 1, iter 313000: infeasibility 1.76554e+12, work 113043059358
P87 phase 1, iter 314000: infeasibility 1.58497e+12, work 113593546707
P87 phase 1, iter 315000: infeasibility 1.50111e+12, work 114112294923
P87 phase 1, iter 316000: infeasibility 1.40493e+12, work 114619060437
P87 phase 1, iter 317000: infeasibility 1.33324e+12, work 115078565504
P87 phase 1, iter 318000: infeasibility 1.2942e+12, work 115578071102
P87 phase 1, iter 319000: infeasibility 1.26696e+12, work 116092818520
P87 phase 1, iter 320000: infeasibility 1.21583e+12, work 116564881745
P87 phase 1, iter 321000: infeasibility 1.17641e+12, work 117009824129
P87 phase 1, iter 322000: infeasibility 1.12578e+12, work 117438393163
P87 phase 1, iter 323000: infeasibility 1.09308e+12, work 117934648845
P87 phase 1, iter 324000: infeasibility 1.06664e+12, work 118426220458
P87 phase 1, iter 325000: infeasibility 1.046e+12, work 118895857016
P87 phase 1, iter 326000: infeasibility 1.15251e+12, work 119398225283
P87 phase 1, iter 327000: infeasibility 1.11478e+12, work 119838373176
P87 phase 1, iter 328000: infeasibility 1.09891e+12, work 120253864658
P87 phase 1, iter 329000: infeasibility 2.2547e+12, work 120682533853
P87 phase 1, iter 330000: infeasibility 1.86961e+12, work 121127172732
P87 phase 1, iter 331000: infeasibility 1.71342e+12, work 121567539032
P87 phase 1, iter 332000: infeasibility 1.61218e+12, work 122082046713
P87 phase 1, iter 333000: infeasibility 1.54117e+12, work 122505268474
P87 phase 1, iter 334000: infeasibility 1.47331e+12, work 123000187984
P87 phase 1, iter 335000: infeasibility 1.39876e+12, work 123504842368
P87 phase 1, iter 336000: infeasibility 1.36436e+12, work 124005124246
P87 phase 1, iter 337000: infeasibility 1.34153e+12, work 124502318308
P87 phase 1, iter 338000: infeasibility 1.32322e+12, work 124967863748
P87 phase 1, iter 339000: infeasibility 1.28354e+12, work 125442012264
P87 phase 1, iter 340000: infeasibility 1.25538e+12, work 125882385920
P87 phase 1, iter 341000: infeasibility 1.24365e+12, work 126307732259
P87 phase 1, iter 342000: infeasibility 3.24522e+12, work 126804733541
P87 phase 1, iter 343000: infeasibility 3.02245e+12, work 127287735320
P87 iter 343682: the primal phase 1 has not reduced its infeasibility for 66031 iterations, switching to Bland's rule
P87 phase 1, iter 344000: infeasibility 2.71922e+12, work 127729804103
P87 phase 1, iter 345000: infeasibility 8.2731e+12, work 128141334695
P87 phase 1, iter 346000: infeasibility 8.0412e+12, work 128483301559
P87 phase 1, iter 347000: infeasibility 7.94926e+12, work 128795272211
P87 phase 1, iter 348000: infeasibility 7.90793e+12, work 129145166910
P87 phase 1, iter 349000: infeasibility 7.88163e+12, work 129498698826
P87 phase 1, iter 350000: infeasibility 5.2699e+14, work 129904518559
P87 phase 1, iter 351000: infeasibility 1.88282e+24, work 130346363530
P87 phase 1, iter 352000: infeasibility 6.7572e+25, work 130748941291
P87 phase 1, iter 353000: infeasibility 2.79393e+17, work 131146125459
P87 phase 1, iter 354000: infeasibility 5.54736e+17, work 131583751075
P87 phase 1, iter 355000: infeasibility 6.44078e+17, work 131981401241
P87 phase 1, iter 356000: infeasibility 2.03436e+18, work 132401670644
P87 phase 1, iter 357000: infeasibility 4.81443e+18, work 132759203142
P87 phase 1, iter 358000: infeasibility 4.35658e+18, work 133180866241
P87 phase 1, iter 359000: infeasibility 4.18406e+18, work 133530737391
P87 phase 1, iter 360000: infeasibility 9.27969e+19, work 133894727982
P87 phase 1, iter 361000: infeasibility 3.42692e+19, work 134318810773
P87 phase 1, iter 362000: infeasibility 8.837e+19, work 134711463410
P87 phase 1, iter 363000: infeasibility 1.18122e+23, work 135087146159
P87 phase 1, iter 364000: infeasibility 2.00612e+21, work 135509766811
P87 phase 1, iter 365000: infeasibility 1.25223e+24, work 136000885688
P87 phase 1, iter 366000: infeasibility 6.00738e+21, work 136451363991
P87 phase 1, iter 367000: infeasibility 4.22268e+20, work 136826376771
P87 phase 1, iter 368000: infeasibility 4.0979e+20, work 137183317340
P87 phase 1, iter 369000: infeasibility 3.72194e+20, work 137532965423
P87 phase 1, iter 370000: infeasibility 3.38022e+20, work 137912666887
P87 phase 1, iter 371000: infeasibility 6.9029e+21, work 138394169916
P87 phase 1, iter 372000: infeasibility 4.20916e+21, work 138855480706
P87 phase 1, iter 373000: infeasibility 2.70968e+20, work 139224082534
P87 phase 1, iter 374000: infeasibility 2.67753e+20, work 139565616833
P87 phase 1, iter 375000: infeasibility 2.60609e+20, work 139948899959
P87 phase 1, iter 376000: infeasibility 2.51442e+20, work 140379091334
P87 phase 1, iter 377000: infeasibility 2.11512e+20, work 140755110160
P87 phase 1, iter 378000: infeasibility 3.37205e+20, work 141172321069
P87 phase 1, iter 379000: infeasibility 4.04052e+20, work 141596594284
P87 phase 1, iter 380000: infeasibility 4.76197e+20, work 142009372557
P87 phase 1, iter 381000: infeasibility 3.05661e+20, work 142459955998
P87 phase 1, iter 382000: infeasibility 2.83877e+20, work 142847594472
P87 phase 1, iter 383000: infeasibility 2.39873e+21, work 143359538775
P87 phase 1, iter 384000: infeasibility 3.07312e+20, work 143792299388
P87 phase 1, iter 385000: infeasibility 3.24653e+20, work 152517824869
P87 phase 1, iter 385000: infeasibility 3.23341e+20, work 152529169113
P87 phase 1, iter 386000: infeasibility 3.24653e+20, work 164640056369
P87 phase 1, iter 386000: infeasibility 3.23341e+20, work 164651400613
P87 phase 1, iter 387000: infeasibility 3.24653e+20, work 176762287869
P87 phase 1, iter 387000: infeasibility 3.23341e+20, work 176773632113
P87 work limit reached after 387235 iterations, 179611569008 work units; 6246 refactorizations, 50419 weight restarts, 1 stalls, 3139 stability rebuilds, 387235 primal iterations, 387235 of them phase 1
# control: 7 record lines written
# control: the run is complete only if a record line was written above
