replay r=1482  SINGLETON_COL       idx=2413   idx2=3589   coef=1           reclo=0           rechi=10195       val=0           aTR=1         x:1.4278497164812025e-321->1506 d:1->0 y[idx]=0 solrow[TR]:0->1506
replay r=1308  FIXED_COL           idx=2341   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:5.40508e-321->-10988.8 y[idx]=0 solrow[TR]:1744->1758
replay r=1307  FIXED_COL           idx=2337   idx2=0      coef=0           reclo=0           rechi=0           val=15          aTR=1         x:0->15 d:5.25625e-310->-7183.64 y[idx]=-3469.44 solrow[TR]:1758->1773
replay r=1306  FIXED_COL           idx=2333   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:7.1145453001139502e-322->14 d:-1->3264.52 y[idx]=5536.79 solrow[TR]:1773->1787
replay r=1305  FIXED_COL           idx=2329   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:6.69911e-310->-16171.7 y[idx]=-13469.4 solrow[TR]:1787->1801
replay r=1304  FIXED_COL           idx=2325   idx2=0      coef=0           reclo=0           rechi=0           val=15          aTR=1         x:0->15 d:0->-7865.26 y[idx]=-20263.4 solrow[TR]:1801->1816
replay r=1303  FIXED_COL           idx=2321   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:1->14 d:0->-9033.98 y[idx]=-28692.5 solrow[TR]:1816->1830
replay r=1302  FIXED_COL           idx=2317   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:-1->14 d:7.11455e-322->-13727.1 y[idx]=-8972.55 solrow[TR]:1830->1844
replay r=1301  FIXED_COL           idx=2313   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:7.1145453001139502e-322->14 d:7.11455e-322->-10143.6 y[idx]=0 solrow[TR]:1844->1858
replay r=1300  FIXED_COL           idx=2309   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:5.2562462879227916e-310->14 d:7.11455e-322->-10000 y[idx]=0 solrow[TR]:1858->1872
replay r=1299  FIXED_COL           idx=2305   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:5.25625e-310->-6689.71 y[idx]=0 solrow[TR]:1872->1886
replay r=1298  FIXED_COL           idx=2301   idx2=0      coef=0           reclo=0           rechi=0           val=18          aTR=1         x:0->18 d:5.54342e-321->-8400.85 y[idx]=762.27 solrow[TR]:1886->1904
replay r=1297  FIXED_COL           idx=2297   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:7.1145453001139502e-322->14 d:-1->-16966.1 y[idx]=14158.6 solrow[TR]:1904->1918
replay r=1296  FIXED_COL           idx=2293   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:-1->-20598.8 y[idx]=0 solrow[TR]:1918->1932
replay r=1295  FIXED_COL           idx=2289   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:5.38037e-321->-22706.5 y[idx]=7976.3 solrow[TR]:1932->1946
replay r=1294  FIXED_COL           idx=2285   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:4.5799885369483555e-321->14 d:0->-1335.16 y[idx]=12464.2 solrow[TR]:1946->1960
replay r=1293  FIXED_COL           idx=2281   idx2=0      coef=0           reclo=0           rechi=0           val=16          aTR=1         x:-1->16 d:7.11455e-322->-16196.9 y[idx]=-21804.7 solrow[TR]:1960->1976
replay r=1292  FIXED_COL           idx=2277   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:7.1145453001139502e-322->14 d:7.11455e-322->-10612.5 y[idx]=1694.81 solrow[TR]:1976->1990
replay r=1291  FIXED_COL           idx=2273   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:-1->14 d:1.42785e-321->-1141.82 y[idx]=-12625.5 solrow[TR]:1990->2004
replay r=1290  FIXED_COL           idx=2269   idx2=0      coef=0           reclo=0           rechi=0           val=15          aTR=1         x:0->15 d:5.43472e-321->579.531 y[idx]=-21550.8 solrow[TR]:2004->2019
replay r=1289  FIXED_COL           idx=2265   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:5.25625e-310->-8620.98 y[idx]=0 solrow[TR]:2019->2033
replay r=1288  FIXED_COL           idx=2261   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:1.0672312015816767e-319->14 d:-1->-17778 y[idx]=0 solrow[TR]:2033->2047
replay r=1287  FIXED_COL           idx=2257   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:7.0947826742803004e-321->14 d:6.69911e-310->-10279.9 y[idx]=0 solrow[TR]:2047->2061
replay r=1286  FIXED_COL           idx=2253   idx2=0      coef=0           reclo=0           rechi=0           val=20          aTR=1         x:5.9880756275959081e-321->20 d:0->-9981.22 y[idx]=0 solrow[TR]:2061->2081
replay r=1285  FIXED_COL           idx=2249   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:5.2562462658068322e-310->14 d:0->-4604.78 y[idx]=10287.6 solrow[TR]:2081->2095
replay r=1284  FIXED_COL           idx=2245   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:6.6991065205101913e-310->14 d:7.11455e-322->-9307.19 y[idx]=9924.67 solrow[TR]:2095->2109
replay r=1283  FIXED_COL           idx=2241   idx2=0      coef=0           reclo=0           rechi=0           val=21          aTR=1         x:3.6313824969331621e-321->21 d:7.11455e-322->-12867.3 y[idx]=4775.28 solrow[TR]:2109->2130
replay r=1282  FIXED_COL           idx=2237   idx2=0      coef=0           reclo=0           rechi=0           val=15          aTR=1         x:2.0553130866995856e-321->15 d:7.11455e-322->-13284.8 y[idx]=-7906.52 solrow[TR]:2130->2145
replay r=1281  FIXED_COL           idx=2233   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:5.25625e-310->-9451.71 y[idx]=818.82 solrow[TR]:2145->2159
replay r=1280  FIXED_COL           idx=2229   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:-1->-4067.17 y[idx]=-10687.1 solrow[TR]:2159->2173
replay r=1279  FIXED_COL           idx=2225   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:7.1145453001139502e-322->14 d:-1->-17278.6 y[idx]=-1189.39 solrow[TR]:2173->2187
replay r=1278  FIXED_COL           idx=2221   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:5.25625e-310->-12408.2 y[idx]=-3716.88 solrow[TR]:2187->2201
replay r=1277  FIXED_COL           idx=2217   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:0->14 d:0->-5644.46 y[idx]=0 solrow[TR]:2201->2215
replay r=1276  FIXED_COL           idx=2213   idx2=0      coef=0           reclo=0           rechi=0           val=16          aTR=1         x:-1->16 d:0->-23149.4 y[idx]=0 solrow[TR]:2215->2231
replay r=1275  FIXED_COL           idx=2209   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:-1->14 d:7.11455e-322->-1498.5 y[idx]=0 solrow[TR]:2231->2245
replay r=1274  FIXED_COL           idx=2205   idx2=0      coef=0           reclo=0           rechi=0           val=14          aTR=1         x:7.1145453001139502e-322->14 d:5.69658e-321->-8774.14 y[idx]=0 solrow[TR]:2245->2259
replay r=729   SINGLETON_ROW       idx=2361   idx2=2397   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:18->18 d:-2386.3->0 y[idx]=-2386.3 solrow[TR]:2259->2259
replay r=714   SINGLETON_ROW       idx=2312   idx2=2393   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:15->15 d:-14811.3->0 y[idx]=-14811.3 solrow[TR]:2259->2259
replay r=699   SINGLETON_ROW       idx=2263   idx2=2389   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-7811.81->0 y[idx]=-7811.81 solrow[TR]:2259->2259
replay r=684   SINGLETON_ROW       idx=2214   idx2=2385   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-10263.5->0 y[idx]=-10263.5 solrow[TR]:2259->2259
replay r=669   SINGLETON_ROW       idx=2165   idx2=2381   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-17886.3->0 y[idx]=-17886.3 solrow[TR]:2259->2259
replay r=654   SINGLETON_ROW       idx=2116   idx2=2377   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:36->36 d:-15512.2->0 y[idx]=-15512.2 solrow[TR]:2259->2259
replay r=639   SINGLETON_ROW       idx=2067   idx2=2373   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-14917.5->0 y[idx]=-14917.5 solrow[TR]:2259->2259
replay r=624   SINGLETON_ROW       idx=2018   idx2=2369   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-9966.01->0 y[idx]=-9966.01 solrow[TR]:2259->2259
replay r=609   SINGLETON_ROW       idx=1969   idx2=2365   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-10732.8->0 y[idx]=-10732.8 solrow[TR]:2259->2259
replay r=594   SINGLETON_ROW       idx=1920   idx2=2361   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-6252.93->0 y[idx]=-6252.93 solrow[TR]:2259->2259
replay r=579   SINGLETON_ROW       idx=1871   idx2=2357   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:29->29 d:-16350.7->0 y[idx]=-16350.7 solrow[TR]:2259->2259
replay r=564   SINGLETON_ROW       idx=1822   idx2=2353   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-17858->0 y[idx]=-17858 solrow[TR]:2259->2259
replay r=549   SINGLETON_ROW       idx=1773   idx2=2349   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-9905.71->0 y[idx]=-9905.71 solrow[TR]:2259->2259
replay r=534   SINGLETON_ROW       idx=1724   idx2=2345   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-10691.7->0 y[idx]=-10691.7 solrow[TR]:2259->2259
replay r=519   SINGLETON_ROW       idx=1675   idx2=2341   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-10988.8->0 y[idx]=-10988.8 solrow[TR]:2259->2259
replay r=504   SINGLETON_ROW       idx=1626   idx2=2337   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:15->15 d:-7183.64->0 y[idx]=-7183.64 solrow[TR]:2259->2259
replay r=489   SINGLETON_ROW       idx=1577   idx2=2333   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:3264.52->0 y[idx]=3264.52 solrow[TR]:2259->2259
replay r=474   SINGLETON_ROW       idx=1528   idx2=2329   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-16171.7->0 y[idx]=-16171.7 solrow[TR]:2259->2259
replay r=459   SINGLETON_ROW       idx=1479   idx2=2325   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:15->15 d:-7865.26->0 y[idx]=-7865.26 solrow[TR]:2259->2259
replay r=444   SINGLETON_ROW       idx=1430   idx2=2321   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-9033.98->0 y[idx]=-9033.98 solrow[TR]:2259->2259
replay r=429   SINGLETON_ROW       idx=1381   idx2=2317   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-13727.1->0 y[idx]=-13727.1 solrow[TR]:2259->2259
replay r=414   SINGLETON_ROW       idx=1332   idx2=2313   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-10143.6->0 y[idx]=-10143.6 solrow[TR]:2259->2259
replay r=399   SINGLETON_ROW       idx=1283   idx2=2309   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-10000->0 y[idx]=-10000 solrow[TR]:2259->2259
replay r=384   SINGLETON_ROW       idx=1234   idx2=2305   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-6689.71->0 y[idx]=-6689.71 solrow[TR]:2259->2259
replay r=369   SINGLETON_ROW       idx=1185   idx2=2301   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:18->18 d:-8400.85->0 y[idx]=-8400.85 solrow[TR]:2259->2259
replay r=354   SINGLETON_ROW       idx=1136   idx2=2297   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-16966.1->0 y[idx]=-16966.1 solrow[TR]:2259->2259
replay r=339   SINGLETON_ROW       idx=1087   idx2=2293   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-20598.8->0 y[idx]=-20598.8 solrow[TR]:2259->2259
replay r=324   SINGLETON_ROW       idx=1038   idx2=2289   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-22706.5->0 y[idx]=-22706.5 solrow[TR]:2259->2259
replay r=309   SINGLETON_ROW       idx=989    idx2=2285   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-1335.16->0 y[idx]=-1335.16 solrow[TR]:2259->2259
replay r=294   SINGLETON_ROW       idx=940    idx2=2281   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:16->16 d:-16196.9->0 y[idx]=-16196.9 solrow[TR]:2259->2259
replay r=279   SINGLETON_ROW       idx=891    idx2=2277   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-10612.5->0 y[idx]=-10612.5 solrow[TR]:2259->2259
replay r=264   SINGLETON_ROW       idx=842    idx2=2273   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-1141.82->0 y[idx]=-1141.82 solrow[TR]:2259->2259
replay r=249   SINGLETON_ROW       idx=793    idx2=2269   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:15->15 d:579.531->0 y[idx]=579.531 solrow[TR]:2259->2259
replay r=234   SINGLETON_ROW       idx=744    idx2=2265   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-8620.98->0 y[idx]=-8620.98 solrow[TR]:2259->2259
replay r=219   SINGLETON_ROW       idx=695    idx2=2261   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-17778->0 y[idx]=-17778 solrow[TR]:2259->2259
replay r=204   SINGLETON_ROW       idx=646    idx2=2257   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-10279.9->0 y[idx]=-10279.9 solrow[TR]:2259->2259
replay r=189   SINGLETON_ROW       idx=597    idx2=2253   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:20->20 d:-9981.22->0 y[idx]=-9981.22 solrow[TR]:2259->2259
replay r=174   SINGLETON_ROW       idx=548    idx2=2249   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-4604.78->0 y[idx]=-4604.78 solrow[TR]:2259->2259
replay r=159   SINGLETON_ROW       idx=499    idx2=2245   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-9307.19->0 y[idx]=-9307.19 solrow[TR]:2259->2259
replay r=144   SINGLETON_ROW       idx=450    idx2=2241   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:21->21 d:-12867.3->0 y[idx]=-12867.3 solrow[TR]:2259->2259
replay r=129   SINGLETON_ROW       idx=401    idx2=2237   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:15->15 d:-13284.8->0 y[idx]=-13284.8 solrow[TR]:2259->2259
replay r=114   SINGLETON_ROW       idx=352    idx2=2233   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-9451.71->0 y[idx]=-9451.71 solrow[TR]:2259->2259
replay r=99    SINGLETON_ROW       idx=303    idx2=2229   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-4067.17->0 y[idx]=-4067.17 solrow[TR]:2259->2259
replay r=84    SINGLETON_ROW       idx=254    idx2=2225   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-17278.6->0 y[idx]=-17278.6 solrow[TR]:2259->2259
replay r=69    SINGLETON_ROW       idx=205    idx2=2221   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-12408.2->0 y[idx]=-12408.2 solrow[TR]:2259->2259
replay r=54    SINGLETON_ROW       idx=156    idx2=2217   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-5644.46->0 y[idx]=-5644.46 solrow[TR]:2259->2259
replay r=39    SINGLETON_ROW       idx=107    idx2=2213   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:16->16 d:-23149.4->0 y[idx]=-23149.4 solrow[TR]:2259->2259
replay r=24    SINGLETON_ROW       idx=58     idx2=2209   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-1498.5->0 y[idx]=-1498.5 solrow[TR]:2259->2259
replay r=9     SINGLETON_ROW       idx=9      idx2=2205   coef=1           reclo=0           rechi=0           val=0           aTR=1         x:14->14 d:-8774.14->0 y[idx]=-8774.14 solrow[TR]:2259->2259
